[07:23:22] [plugins/mysql] mysql_tquery: invalid connection handle '0'
[07:23:22] [plugins/mysql] mysql_format: destination size '512' is too small
[07:23:22] [plugins/mysql] error #1064 while executing query "CREATE TABLE IF NOT EXISTS `bank_logs` (        `ID` int(11) NOT NULL auto_increment,        `AccountID` int(11) NOT NULL,        `ToAccountID` int(11) NOT NULL default '-1',        `Type` smallint(1) NOT NULL,        `Player` varchar(24) NOT NULL,        `Amount` int(11) NOT NULL,        `Date` int(11) NOT NULL,": You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '' at line 1
[07:23:22] [plugins/mysql] orm_insert: invalid orm id '0'
[07:23:50] [plugins/mysql] cache_get_value_name_int: field 'Developer' not found
[07:24:01] [plugins/mysql] error #1146 while executing query "SELECT * FROM `damages` WHERE `IDs` = '5' ORDER BY `time` DESC LIMIT 55": Table 'reliazed.damages' doesn't exist
[07:24:01] [plugins/mysql] error #1146 while executing query "SELECT * FROM `characters_inventory` WHERE `ID` = '5'": Table 'reliazed.characters_inventory' doesn't exist
[07:24:23] [plugins/mysql] cache_get_value_name_int: field 'Developer' not found
[07:24:31] [plugins/mysql] error #1146 while executing query "SELECT * FROM `damages` WHERE `IDs` = '1' ORDER BY `time` DESC LIMIT 55": Table 'reliazed.damages' doesn't exist
[07:24:31] [plugins/mysql] error #1146 while executing query "SELECT * FROM `characters_inventory` WHERE `ID` = '1'": Table 'reliazed.characters_inventory' doesn't exist
[07:24:42] [plugins/mysql] error #1146 while executing query "INSERT INTO `damages` SET `weapon`='23', `bodypart`='3', `amount`='0.00', `amountkevlar`='17.00', `IDs`='5'": Table 'reliazed.damages' doesn't exist
[07:25:05] [plugins/mysql] error #1146 while executing query "INSERT INTO `damages` SET `weapon`='23', `bodypart`='2', `amount`='18.00', `amountkevlar`='0.00', `IDs`='5'": Table 'reliazed.damages' doesn't exist
[07:25:14] [plugins/mysql] error #1146 while executing query "INSERT INTO `damages` SET `weapon`='23', `bodypart`='6', `amount`='22.00', `amountkevlar`='0.00', `IDs`='5'": Table 'reliazed.damages' doesn't exist
[07:25:17] [plugins/mysql] error #1146 while executing query "INSERT INTO `damages` SET `weapon`='23', `bodypart`='5', `amount`='19.00', `amountkevlar`='0.00', `IDs`='5'": Table 'reliazed.damages' doesn't exist
[07:26:14] [plugins/mysql] error #1146 while executing query "INSERT INTO `damages` SET `weapon`='22', `bodypart`='3', `amount`='0.00', `amountkevlar`='19.00', `IDs`='1'": Table 'reliazed.damages' doesn't exist
[07:26:14] [plugins/mysql] error #1146 while executing query "INSERT INTO `damages` SET `weapon`='22', `bodypart`='2', `amount`='0.00', `amountkevlar`='19.00', `IDs`='1'": Table 'reliazed.damages' doesn't exist
[07:26:19] [plugins/mysql] error #1146 while executing query "INSERT INTO `damages` SET `weapon`='22', `bodypart`='4', `amount`='0.00', `amountkevlar`='15.00', `IDs`='1'": Table 'reliazed.damages' doesn't exist
[07:26:19] [plugins/mysql] error #1146 while executing query "INSERT INTO `damages` SET `weapon`='22', `bodypart`='1', `amount`='0.00', `amountkevlar`='19.00', `IDs`='1'": Table 'reliazed.damages' doesn't exist
